"Plot Title: table5_KW_2_15_19"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20400406, SEN S/N: 20400406)","Intensity, Lux (LGR S/N: 20400406, SEN S/N: 20400406)","Coupler Attached (LGR S/N: 20400406)","Host Connected (LGR S/N: 20400406)","Stopped (LGR S/N: 20400406)","End Of File (LGR S/N: 20400406)"
1,02/15/19 01:00:00 PM,23.773,132267.5,,,,
2,02/15/19 01:05:00 PM,20.043,46844.8,,,,
3,02/15/19 01:10:00 PM,18.045,55111.5,,,,
4,02/15/19 01:15:00 PM,16.903,46844.8,,,,
5,02/15/19 01:20:00 PM,16.618,28933.5,,,,
6,02/15/19 01:25:00 PM,17.475,74400.5,,,,
7,02/15/19 01:30:00 PM,17.475,42711.4,,,,
8,02/15/19 01:35:00 PM,19.187,63378.2,,,,
9,02/15/19 01:40:00 PM,19.092,68889.3,,,,
10,02/15/19 01:45:00 PM,18.996,46844.8,,,,
11,02/15/19 01:50:00 PM,17.570,55111.5,,,,
12,02/15/19 01:55:00 PM,20.805,126756.4,,,,
13,02/15/19 02:00:00 PM,18.901,60622.6,,,,
14,02/15/19 02:05:00 PM,20.805,57867.0,,,,
15,02/15/19 02:10:00 PM,21.282,88178.4,,,,
16,02/15/19 02:15:00 PM,20.234,68889.3,,,,
17,02/15/19 02:20:00 PM,17.950,52355.9,,,,
18,02/15/19 02:25:00 PM,16.523,33066.9,,,,
19,02/15/19 02:30:00 PM,16.141,34444.7,,,,
20,02/15/19 02:35:00 PM,16.237,49600.3,,,,
21,02/15/19 02:40:00 PM,16.332,38578.0,,,,
22,02/15/19 02:45:00 PM,17.284,77156.1,,,,
23,02/15/19 02:50:00 PM,20.138,82667.2,,,,
24,02/15/19 02:55:00 PM,19.282,68889.3,,,,
25,02/15/19 03:00:00 PM,18.331,60622.6,,,,
26,02/15/19 03:05:00 PM,18.711,66133.8,,,,
27,02/15/19 03:10:00 PM,17.475,44089.2,,,,
28,02/15/19 03:15:00 PM,16.427,39955.8,,,,
29,02/15/19 03:20:00 PM,16.427,52355.9,,,,
30,02/15/19 03:25:00 PM,15.855,23422.4,,,,
31,02/15/19 03:30:00 PM,14.421,22044.6,,,,
32,02/15/19 03:35:00 PM,13.750,17911.2,,,,
33,02/15/19 03:40:00 PM,13.846,19977.9,,,,
34,02/15/19 03:45:00 PM,13.076,16533.4,,,,
35,02/15/19 03:50:00 PM,12.980,16533.4,,,,
36,02/15/19 03:55:00 PM,12.980,23422.4,,,,
37,02/15/19 04:00:00 PM,13.269,17911.2,,,,
38,02/15/19 04:05:00 PM,12.980,15155.7,,,,
